Time,price,volume
Time,Price,Volume
04:00:01.446464,123.74,10
04:00:02.347028,123.74,30
04:00:03.850550,123.62,1
04:00:04.971613,123.6,5
04:00:04.971613,123.74,17
04:00:05.245234,123.74,6
04:00:05.245234,123.77,4
04:00:05.647167,123.77,9
04:00:05.859207,123.77,1
04:00:05.864769,123.77,1
04:00:06.774346,123.77,1
04:00:07.644424,123.77,1
04:00:08.875366,123.77,2
04:00:08.960920,123.77,30
04:00:09.357326,123.77,1
04:00:10.342920,123.77,3
04:00:12.900678,123.52,353
04:00:12.900678,123.5,1
04:00:12.900678,123.5,1
04:00:12.900678,123.5,199
04:00:12.900678,123.5,11
04:00:12.900678,123.5,5
04:00:12.901834,123.5,237
04:00:13.127408,123.5,3
04:00:13.127408,123.5,2
04:00:13.127408,123.5,10
04:00:13.127408,123.5,1
04:00:13.127408,123.48,4
04:00:13.132490,123.48,16
04:00:13.132490,123.45,84
04:00:14.086311,123.77,1
04:00:14.767430,123.77,1
04:00:22.482097,123.6,100
04:00:22.530796,123.49,53
04:00:22.530796,123.49,1
04:00:22.530796,123.48,1
04:00:22.531093,123.45,116
04:00:22.531093,123.45,3
04:00:30.326349,123.5,3
04:00:30.326349,123.5,7
04:00:46.472072,123.54,1
04:00:51.309894,123.51,20
04:00:57.891769,123.54,4
04:01:03.555212,123.51,10
04:01:05.421886,123.51,70
04:01:05.421886,123.51,330
04:01:05.422338,123.6,1
04:01:08.415331,123.51,1
04:01:09.567287,123.51,98
04:01:09.567287,123.51,2
04:01:09.682817,123.51,8
04:01:11.966813,123.52,23
04:01:11.966813,123.52,27
04:01:11.982402,123.6,3
04:01:12.850826,123.6,5
04:01:14.794404,123.6,2
04:01:15.486216,123.6,1
04:01:19.087724,123.52,23
04:01:19.087724,123.51,13
04:01:19.132568,123.51,50
04:01:19.965930,123.64,2
04:01:22.334155,123.64,10
04:01:33.384404,123.6,1
04:01:41.744649,123.6,2
04:01:42.482449,123.64,1
04:01:45.530579,123.6,1
04:01:50.452578,123.6,1
04:01:51.255649,123.6,11
04:01:55.836433,123.6,19
04:01:55.836433,123.6,1
04:01:57.115506,123.6,4
04:02:03.488940,123.6,10
04:02:03.488940,123.6,1
04:02:03.488940,123.6,2
04:02:03.488940,123.52,100
04:02:03.488940,123.51,1
04:02:03.489397,123.54,8
04:02:03.489397,123.52,50
04:02:03.489397,123.51,4
04:02:03.489397,123.51,5
04:02:03.489397,123.51,119
04:02:03.721404,123.5,3
04:02:03.721404,123.5,100
04:02:03.721404,123.5,1
04:02:03.721404,123.5,37
04:02:03.721404,123.49,1
04:02:03.721404,123.35,42
04:02:03.721404,123.33,303
04:02:03.721844,123.51,81
04:02:03.721844,123.51,1
04:02:03.721844,123.51,1
04:02:03.721844,123.51,30
04:02:04.034764,123.6,1
04:02:04.329154,123.6,6
04:02:04.329154,123.6,8
04:02:04.596800,123.52,2
04:02:10.995286,123.53,100
04:02:11.369797,123.53,1
04:02:11.369559,123.6,1
04:02:21.168169,123.53,2
04:02:23.277352,123.53,1
04:02:24.429937,123.51,20
04:02:24.429937,123.51,100
04:02:31.815240,123.5,23
04:02:31.815240,123.5,1
04:02:31.815240,123.5,10
04:02:31.815240,123.5,2
04:02:31.815240,123.47,1
04:02:31.815240,123.46,6
04:02:36.498703,123.51,1
04:02:44.194491,123.5,1
04:02:45.090606,123.5,1
04:02:46.621188,123.5,44
04:02:46.621188,123.5,6
04:02:46.621188,123.51,50
04:02:51.410829,123.5,1
04:02:51.413356,123.5,2
04:02:51.486742,123.5,30
04:02:53.433753,123.5,13
04:03:01.425097,123.51,1
04:03:01.425097,123.51,1
04:03:01.441360,123.5,2
04:03:04.267950,123.5,1
04:03:06.199205,123.5,21
04:03:08.689237,123.5,1
04:03:09.657028,123.5,8
04:03:12.017953,123.51,40
04:03:15.817239,123.5,2
04:03:15.932958,123.5,1
04:03:15.932958,123.62,2
04:03:15.985204,123.62,5
04:03:16.152420,123.62,3
04:03:16.207715,123.62,25
04:03:16.572406,123.62,18
04:03:16.992072,123.62,5
04:03:17.248541,123.62,4
04:03:18.451237,123.51,10
04:03:18.571315,123.5,1
04:03:20.212078,123.59,4
04:03:20.518110,123.59,1
04:03:20.532205,123.59,1
04:03:20.639841,123.59,2
04:03:20.966788,123.59,160
04:03:21.911061,123.59,1
04:03:22.021516,123.5,1
04:03:22.345716,123.59,1
04:03:22.351356,123.59,1
04:03:22.476907,123.5,77
04:03:22.476907,123.5,5
04:03:22.476907,123.46,118
04:03:22.583313,123.59,3
04:03:23.336161,123.51,1
04:03:23.359961,123.51,2
04:03:23.359961,123.5,1
04:03:23.359961,123.5,23
04:03:23.426377,123.59,2
04:03:23.458518,123.59,1
04:03:24.323612,123.51,3
04:03:24.726246,123.51,1
04:03:24.784838,123.51,1
04:03:25.372460,123.51,1
04:03:25.769048,123.51,4
04:03:26.966224,123.51,1
04:03:26.966224,123.51,7
04:03:29.255526,123.51,2
04:03:29.326509,123.51,7
04:03:29.476893,123.51,4
04:03:29.476893,123.51,96
04:03:29.762447,123.51,1
04:03:29.814363,123.51,10
04:03:29.851364,123.51,5
04:03:30.157303,123.51,20
04:03:30.172444,123.51,1
04:03:30.217909,123.51,18
04:03:30.486204,123.51,5
04:03:30.489196,123.51,1
04:03:30.648556,123.51,1
04:03:32.240410,123.51,1
04:03:32.459048,123.51,1
04:03:32.695272,123.51,15
04:03:32.705906,123.51,1
04:03:33.308078,123.51,1
04:03:34.213421,123.51,8
04:03:34.414299,123.51,1
04:03:35.069800,123.51,1
04:03:35.978110,123.51,5
04:03:36.812690,123.51,3
04:03:38.201734,123.51,10
04:03:43.513427,123.51,1
04:03:56.034644,123.5,25
04:03:56.034644,123.5,4
04:03:59.580283,123.46,15
04:04:01.284970,123.52,2
04:04:01.284970,123.51,1
04:04:01.284970,123.5,27
04:04:01.284970,123.5,1
04:04:01.284970,123.5,1
04:04:01.284970,123.5,1
04:04:01.284970,123.46,14
04:04:07.973388,123.47,19
04:04:15.284001,123.47,20
04:04:28.560191,123.49,1
04:04:28.560191,123.48,1
04:04:28.560191,123.48,15
04:04:30.390541,123.47,50
04:04:31.199088,123.47,33
