XLB,87.49,15:47:00
XLB,87.49,15:47:00
XLB,87.49,15:47:00
XLB,87.485,15:47:00
XLB,87.485,15:47:00
XLB,87.485,15:47:00
XLB,87.485,15:47:00
XLB,87.49,15:47:08
XLB,87.49,15:47:08
XLB,87.49,15:47:08
XLB,87.485,15:47:08
XLB,87.49,15:47:08
XLB,87.49,15:47:09
XLB,87.48,15:47:09
XLB,87.485,15:47:09
XLB,87.49,15:47:09
XLB,87.4808,15:47:10
XLB,87.4808,15:47:10
XLB,87.49,15:47:11
XLB,87.49,15:47:11
XLB,87.49,15:47:11
XLB,87.49,15:47:11
XLB,87.49,15:47:11
XLB,87.49,15:47:14
XLB,87.49,15:47:14
XLB,87.495,15:47:14
XLB,87.492,15:47:14
XLB,87.5,15:47:14
XLB,87.49,15:47:14
XLB,87.5,15:47:14
